param num_pivots := 3;
param coverage_cost := 0.5;
param initial_cost := 12000;
param parcel_area := 1458888.8282936495;
param max_length := 800;

param : SIZES : cost :=
	0 0
	37 8036
	39 8667
	47 9705
	49 13500
	52 10737.5
	54 11750;
set EXTRA_SIZES := 0 37 39;
set POLY := P1;
set LINES_POLY[P1] := L11 L12 L13 L14 L15 L16 L17 L18;

param: x1_lines y1_lines x2_lines y2_lines :=
    P1 L11 603.87 1818.61 1133.98 1559.28
	P1 L12 1133.98 1559.28 2716.24 335.98
	P1 L13 2716.24 335.98 2309.82 24.19
	P1 L14 2309.82 24.19 2192.08 45.88
	P1 L15 1998.38 120.64 1568.74 285.01
	P1 L16 1568.74 285.01 1153.94 693.77
	P1 L17 1153.94 693.77 815.28 921.84
    P1 L18 815.28 921.84 603.87 1818.61
    ;
	

param: SEGMENTS: x1 y1 x2 y2 :=
    S1 603.87 1818.61 1133.98 1559.28
    S2 1133.98 1559.28 2716.24 335.98
    S3 2716.24 335.98 2309.82 24.19
    S4 2309.82 24.19 2192.08 45.88
    S5 2192.08 45.88 1998.38 120.64
    S6 1998.38 120.64 1568.74 285.01
    S7 1568.74 285.01 1541.63 354.78
    S8 1541.63 354.78 1345.1 485.78
    S9 1345.1 485.78 1217.91 498.5
    S10 1217.91 498.5 1153.94 693.77
    S11 1153.94 693.77 815.28 921.84
    S12 815.28 921.84 603.87 1818.61;
